title,imdb_id,poster_url,language,original_title,overview,release_date,tagline,length,rating,num_votes
Woman in the Dunes,tt0058625,https://image.tmdb.org/t/p/w500//rE6vtXBDXy3cjyFmxfsDese0Eo4.jpg,ja,砂の女,An entomologist suffers extreme psychological and sexual torture after being taken captive by the residents of a poor seaside village.,1964-02-15,Haunting. Erotic. Unforgettable.,147,8.5,17370
The Prestige,tt0482571,https://image.tmdb.org/t/p/w500//pvSESD7ujxWZwtYDb9l57qE0ywq.jpg,en,,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",2006-10-19,Are You Watching Closely?,130,8.5,1188651
Samsara,tt0770802,https://image.tmdb.org/t/p/w500//qodkea4k0pNUmNTl5TJO2PdTqgW.jpg,en,,"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",2011-09-16,,102,8.5,33381
The Corporal and the Others,tt0059812,https://image.tmdb.org/t/p/w500//4zfHkYwLhy10dDY4gLfRMioFA4X.jpg,hu,A tizedes meg a többiek,"PFC Molnár decides his WWII services are over, and with serious money hidden in his hand grenades, he heads to an abandoned mansion where he encounters not only the sour butler but a bunch of others who also try to wimp out of their duties.",1965-09-03,,111,8.5,2170
The Diamond Arm,tt0062759,https://image.tmdb.org/t/p/w500//iwVRDsZAuJmulnPKeYxhezzpr9A.jpg,ru,Бриллиантовая рука,"In the southern town, a gang of ""currency traders"" is operating, led by the Chief and his assistant Kozodoyev. A modest Soviet clerk and an exemplary family man Semyon Semyonovich Gorbunkov goes on a foreign cruise on a motor ship, on which Kozodoyev also sailed, who must pick up diamonds in one of the eastern cities and transport them in a plaster hand. But due to a misunderstanding, instead of a swindler, an unsuspecting Gorbunkov falls in the appointed place, and a precious plaster is imposed on him. That's where it all starts...",1968-02-02,A cinematographic novel in 2 parts from the life of smugglers,100,8.5,13343
Once Upon a Time in the West,tt0064116,https://image.tmdb.org/t/p/w500//3RymloPYcEPx30T1vTrz2cXaVnh.jpg,it,C'era una volta il West,A widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.,1968-12-21,There were three men in her life. One to take her... one to love her... and one to kill her.,166,8.5,302505
Oththa Seruppu Size 7,tt10370116,https://image.tmdb.org/t/p/w500//hmq8sD16k9GFYMzyiThQAg9aO2Z.jpg,ta,ஒத்த செருப்பு அளவு -7,An emotionally unstable murder suspect explains the modus operandi behind the crimes he had committed to a few cops which helps in unfolding some intriguing revelation.,2019-09-20,,120,8.5,2149
One Song a Day Takes Mischief Away,tt0066461,https://image.tmdb.org/t/p/w500//8OvXCahhYyvRgAYSnJBhgY83751.jpg,hr,Tko pjeva zlo ne misli,"Set in pre-World War II Zagreb, the story is seen through the eyes of 6-year-old Perica Šafranek (played by Tomislav Žganec). A dandy from Zagreb, Mr Fulir (played by Relja Bašić), starts flirting with Perica's mother during a family picnic. At first, Perica's father doesn't notice anything, but wants to marry off Perica's aunt, so he invites the man to their residence. After multiple rendezvous, Perica's father becomes aware of Fulir's attempts to seduce his wife.",1970-10-19,,95,8.5,2127
National Theatre Live: Fleabag,tt10702760,https://image.tmdb.org/t/p/w500//wBmmX79NxG6LOztS3PI7uvc5ZBh.jpg,en,,"Fleabag may seem oversexed, emotionally unfiltered and self-obsessed, but that's just the tip of the iceberg. With family and friendships under strain and a guinea pig café struggling to keep afloat, Fleabag suddenly finds herself with nothing to lose.",2019-09-12,,80,8.5,1463
Gentlemen of Fortune,tt0068519,https://image.tmdb.org/t/p/w500//i3ItBo0TvMwLpt2WtY5rmpoOKDz.jpg,ru,Джентльмены удачи,"A kindergarten director Troshkin is a dead ringer for a criminal nicknamed ""Docent"" who stole the priceless...",1971-12-13,,88,8.5,10532
